relation_id,relation_name,side,mapping_type,train_frequency,log_train_frequency,test_support,side_support,eligible_support,hits_r,alpha_r,delta_r
0,/location/country/form_of_government,head,M-N,298,5.700443573390686,43,43,24,0.2890365443059376,0.7916666865348816,0.5
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,head,1-N,1272,7.149131598557407,91,91,50,0.34536892601421904,0.5799999833106995,0.26
2,/media_common/netflix_genre/titles,head,M-N,2671,7.890582534656536,124,124,114,0.828341007232666,0.21929824352264404,0.12280701754385964
3,/award/award_winner/awards_won./award/award_honor/award_winner,head,M-N,8423,9.03884005381381,41,41,26,0.5609756112098694,0.23076923191547394,0.11538461538461539
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,head,M-N,2262,7.724446645633537,12,12,0,0.0,,
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,head,M-N,2265,7.725771441587952,10,10,0,0.0,,
6,/film/actor/film./film/performance/film,head,M-N,9494,9.158520623246385,836,836,173,0.11278195466314044,0.7283236980438232,0.3468208092485549
7,/award/award_category/nominees./award/award_nomination/nominated_for,head,M-N,9465,9.155461710466193,858,858,732,0.725108231816973,0.33196720480918884,0.14754098360655737
8,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,head,M-N,15989,9.679718805828,214,214,181,0.7570093614714486,0.2154696136713028,0.10497237569060773
9,/music/performance_role/regular_performances./music/group_membership/role,head,M-N,2655,7.884576510596324,40,40,17,0.23928571598870413,0.7058823704719543,0.29411764705882354
10,/award/award_category/winners./award/award_honor/ceremony,head,M-N,2834,7.949797216161852,323,323,307,0.9071207472256252,0.1335504949092865,0.06840390879478828
11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,head,M-1,1429,7.265429723253953,158,158,16,0.02169981924816966,1.0,0.625
12,/award/award_winning_work/awards_won./award/award_honor/award_winner,head,M-N,2992,8.004031507852698,24,24,16,0.5119047633239201,0.3125,0.1875
13,/film/film/release_date_s./film/film_regional_release_date/film_release_region,head,M-N,12893,9.464517365870565,1447,1447,872,0.3396189170224326,0.8050458431243896,0.36926605504587157
14,/film/film/language,head,M-N,2570,7.852050207265889,314,314,166,0.3152866278375898,0.7710843086242676,0.3674698795180723
15,/location/location/contains,head,M-N,5201,8.556798446008596,330,330,271,0.7138528057507106,0.24723246693611145,0.11439114391143912
16,/organization/organization/headquarters./location/mailing_address/country,head,M-1,182,5.209486152841421,7,7,0,0.0,,
17,/people/person/profession,head,M-N,10945,9.300729371703863,1311,1311,424,0.1746758222579956,0.7806603908538818,0.3584905660377358
18,/location/statistical_region/religions./location/religion_percentage/religion,head,M-N,596,6.391917113392602,60,60,51,0.6476190515926906,0.4901960790157318,0.29411764705882354
19,/award/award_nominee/award_nominations./award/award_nomination/award,head,M-N,12157,9.405742668308667,1067,1067,338,0.19052082087312425,0.7011834383010864,0.32840236686390534
20,/music/genre/artists,head,M-N,5880,8.679482094459956,664,664,518,0.6701807294573102,0.29343628883361816,0.14671814671814673
21,/influence/influence_node/influenced_by,head,M-N,1908,7.554334823725748,235,235,106,0.27537993448121206,0.7075471878051758,0.33962264150943394
22,/education/educational_institution/students_graduates./education/education/student,head,1-N,2640,7.878912912297132,311,311,143,0.2912264551435198,0.6643356680870056,0.3006993006993007
23,/organization/organization_member/member_of./organization/organization_membership/organization,head,M-N,797,6.682108597449809,96,96,81,0.6860119019235883,0.34567901492118835,0.19753086419753085
24,/people/person/place_of_birth,head,M-1,2465,7.81035268372429,170,170,12,0.03193277386682374,0.9166666865348816,0.4166666666666667
25,/common/topic/webpage./common/webpage/category,head,M-1,3612,8.19229373114764,402,402,16,0.015280738872076784,0.8125,0.5
26,/film/film/other_crew./film/film_crew_gig/film_crew_role,head,M-N,5305,8.576593534697684,606,606,173,0.12046204826661519,0.9190751314163208,0.4277456647398844
27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,head,M-N,2727,7.911324018963352,317,317,259,0.6579540286745343,0.42084941267967224,0.2084942084942085
28,/film/film/country,head,M-1,2407,7.786551806428712,131,131,15,0.04798255142356668,0.9333333373069763,0.5333333333333333
29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,head,M-N,2130,7.664346632098617,258,258,244,0.8344407422201974,0.26229506731033325,0.13114754098360656
30,/award/award_winning_work/awards_won./award/award_honor/award,head,M-N,3310,8.105005537547246,118,118,43,0.21912832983902522,0.6976743936538696,0.3953488372093023
31,/film/film/genre,head,M-N,7268,8.891374009484636,722,722,169,0.11495844806943621,0.8520709872245789,0.3727810650887574
32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,head,M-N,2337,7.757051142032013,160,160,143,0.7410714285714286,0.3916083872318268,0.18181818181818182
33,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,head,M-1,373,5.924255797414532,46,46,9,0.046583851001092365,1.0,0.7777777777777778
34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,head,M-1,1210,7.099201743553092,151,151,56,0.14096499234437943,0.9464285969734192,0.42857142857142855
35,/government/legislative_session/members./government/government_position_held/district_represented,head,M-N,1070,6.976348070447749,117,117,116,0.9474969506263733,0.11206896603107452,0.04310344827586207
36,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,head,M-N,622,6.434546518787453,1,1,0,0.0,,
37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,head,M-N,760,6.634633357861686,91,91,90,0.9607535345213754,0.07777778059244156,0.044444444444444446
38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,head,M-N,6277,8.744806737401898,132,132,57,0.3192640670708248,0.4912280738353729,0.3157894736842105
39,/people/deceased_person/place_of_death,head,M-1,695,6.54534966033442,78,78,10,0.04761904930429799,1.0,0.7
40,/sports/pro_athlete/teams./sports/sports_team_roster/team,head,M-N,676,6.517671272912275,16,16,13,0.6696428571428571,0.23076923191547394,0.23076923076923078
41,/music/artist/track_contributions./music/track_contribution/role,head,M-N,1772,7.480428306074208,152,152,47,0.15413533789770945,0.8723404407501221,0.40425531914893614
42,/music/instrument/instrumentalists,head,M-N,1938,7.569927655242652,153,153,135,0.7497665882110596,0.3037036955356598,0.1259259259259259
43,/people/person/gender,head,M-1,3717,8.220941168281389,436,436,72,0.05930537411144802,0.9305555820465088,0.4305555555555556
44,/business/job_title/people_with_this_title./business/employment_tenure/company,head,M-N,734,6.5998704992128365,85,85,82,0.8924369812011719,0.1463414579629898,0.08536585365853659
45,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,head,M-N,1511,7.321188556739479,32,32,7,0.10714285714285714,0.7142857313156128,0.5714285714285714
46,/business/business_operation/industry,head,M-1,330,5.802118375377063,41,41,22,0.25435540080070496,0.9545454382896423,0.45454545454545453
47,/award/award_category/winners./award/award_honor/award_winner,head,M-N,5673,8.643649615368796,217,217,168,0.6069782716887338,0.4404761791229248,0.20238095238095238
48,/people/person/nationality,head,M-1,4197,8.342363500380579,494,494,80,0.09456333092280797,0.675000011920929,0.3625
49,/sports/sports_team/roster./baseball/baseball_roster_position/position,head,M-N,183,5.214935757608986,3,3,3,1.0,0.0,0.0
50,/people/cause_of_death/people,head,1-N,737,6.6039438246004725,94,94,68,0.5486322130475726,0.47058823704719543,0.22058823529411764
51,/tv/tv_program/languages,head,M-1,254,5.541263545158426,24,24,23,0.8690476162093026,0.21739129722118378,0.13043478260869565
52,/music/genre/parent_genre,head,M-N,678,6.520621127558696,97,97,55,0.4020618498325348,0.581818163394928,0.2909090909090909
53,/base/popstra/celebrity/breakup./base/popstra/breakup/participant,head,1-1,153,5.0369526024136295,0,0,0,,,
54,/location/country/capital,head,1-1,142,4.962844630259907,11,11,4,0.23376624073301042,1.0,0.5
55,/film/special_film_performance_type/film_performance_type./film/performance/film,head,1-N,93,4.543294782270004,11,11,11,1.0,0.0,0.0
56,/location/hud_county_place/place,head,1-1,459,6.131226489483141,48,48,48,1.0,0.0,0.0
57,/music/performance_role/guest_performances./music/recording_contribution/performance_role,head,M-N,497,6.210600077024653,2,2,2,0.7142857142857143,0.5,0.5
58,/location/location/adjoin_s./location/adjoining_relationship/adjoins,head,M-N,2051,7.62657020629066,55,55,46,0.742857141154153,0.28260868787765503,0.1956521739130435
59,/film/film_subject/films,head,1-N,603,6.403574197934815,77,77,55,0.584415580545153,0.4545454680919647,0.21818181818181817
60,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,head,M-1,475,6.16541785423142,60,60,11,0.05238095431455544,1.0,0.7272727272727273
61,/education/educational_institution/colors,head,M-N,856,6.75343791859778,90,90,7,0.012698413138943059,1.0,0.42857142857142855
62,/base/aareas/schema/administrative_area/administrative_parent,head,M-1,579,6.363028103540465,25,25,22,0.874285706451961,0.04545454680919647,0.045454545454545456
